y_m,z_m,recruitment_presence_qnat,recruitment_presence_qrel,recruitment_age_days_qnat,recruitment_age_days_qrel,recruitment_effective_age_days_qnat,recruitment_effective_age_days_qrel,camporeale_biomass_qnat,camporeale_biomass_qrel
30.5,0.8214285714285714,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30.75,0.8035714285714286,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.7857142857142857,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31.25,0.7678571428571429,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31.5,0.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31.75,0.7321428571428572,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.7142857142857143,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32.25,0.6964285714285714,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32.5,0.6785714285714286,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32.75,0.6607142857142858,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.6428571428571429,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33.25,0.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,0.6071428571428572,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33.75,0.5892857142857143,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.5714285714285714,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34.25,0.5535714285714286,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34.5,0.5357142857142858,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34.75,0.5178571428571429,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35.25,0.5107142857142857,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35.5,0.5214285714285715,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35.75,0.5321428571428571,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.5428571428571428,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36.25,0.5535714285714286,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36.5,0.5642857142857143,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36.75,0.575,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.5857142857142857,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37.25,0.5964285714285714,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.6071428571428572,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37.75,0.6178571428571429,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.6285714285714286,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38.25,0.6392857142857143,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38.5,0.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38.75,0.6607142857142858,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.6714285714285715,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39.25,0.6821428571428572,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39.5,0.6928571428571428,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39.75,0.7035714285714286,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.7142857142857143,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40.25,0.7250000000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40.5,0.7357142857142858,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40.75,0.7464285714285714,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.7571428571428571,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41.25,0.7678571428571429,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41.5,0.7785714285714287,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41.75,0.7892857142857144,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42.25,0.8250000000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42.5,0.8500000000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42.75,0.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43.25,0.925,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43.5,0.9500000000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43.75,0.9750000000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44.25,1.0250000000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44.5,1.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44.75,1.0750000000000002,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,1.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45.25,1.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45.5,1.1500000000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45.75,1.175,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,1.2000000000000002,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46.25,1.225,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46.5,1.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46.75,1.2750000000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,1.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47.25,1.3250000000000002,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47.5,1.35,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47.75,1.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,1.4000000000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
48.25,1.425,0,0,0.0,0.0,0.0,0.0,0.0,0.0
